,surprise_median_fa,surprise_mean_fa,TICKER,year,quarternum,Skew,Kurtosis,delta_return,Y
"('2015', 0)",10.392304845413278,9.81495457622364,ABBV,2015,0,-0.016737946995040876,0.83,-0.03810000000000002,0
"('2015', 0)",10.392304845413278,9.81495457622364,ABBV,2015,0,-0.016737946995040876,0.83,-0.03810000000000002,0
"('2015', 0)",10.392304845413278,9.81495457622364,ABBV,2015,0,-0.016737946995040876,0.83,-0.03810000000000002,0
"('2016', 2)",0.0,0.0,ABBV,2016,2,0.0,1.26,0.014499999999999957,0
"('2016', 2)",0.0,0.0,ABBV,2016,2,0.0,1.26,0.014499999999999957,0
"('1997', 3)",,,ADM,1997,3,0.0,0.2468,-0.05349999999999999,0
"('1998', 0)",,,ADM,1998,0,0.0,0.2386,-0.03990000000000005,0
"('1999', 3)",,,ADM,1999,3,0.0,0.1451,0.04810000000000003,0
"('2000', 3)",,,ADM,2000,3,0.0,0.1714,0.1513,1
"('2001', 0)",,,ADM,2001,0,0.0,0.1905,0.11850000000000005,0
"('2007', 3)",,,ADM,2007,3,0.0,0.72,-0.013000000000000012,0
"('2009', 1)",,,ADM,2009,1,0.0,0.4,0.08010000000000006,0
"('2011', 2)",2.727987067351224,3.086207591346839,ADM,2011,2,0.21759331093552636,0.68,-0.01959999999999995,0
"('2011', 2)",2.727987067351224,3.086207591346839,ADM,2011,2,0.21759331093552636,0.68,-0.01959999999999995,0
"('2011', 2)",2.727987067351224,3.086207591346839,ADM,2011,2,0.21759331093552636,0.68,-0.01959999999999995,0
"('2012', 2)",,,ADM,2012,2,0.0,0.43,-0.010299999999999976,0
"('2013', 1)",,,ADM,2013,1,0.0,0.77,0.03370000000000006,0
"('2013', 3)",,,ADM,2013,3,0.0,0.9,-0.007600000000000051,0
"('2014', 0)",,,ADM,2014,0,0.0,0.44,0.06020000000000003,0
"('2015', 0)",,,ADM,2015,0,0.0,0.68,-0.020299999999999985,0
"('2016', 1)",,,ADM,2016,1,0.0,0.45,-0.041200000000000014,0
"('1999', 2)",,,AMGN,1999,2,0.0,0.24,0.1008,1
"('2001', 0)",,,AMGN,2001,0,0.0,0.2776,0.010199999999999987,0
"('2002', 0)",-0.7071067811865476,-0.7071067811865476,AMGN,2002,0,0.0,0.305,-0.034599999999999964,0
"('2002', 0)",-0.7071067811865476,-0.7071067811865476,AMGN,2002,0,0.0,0.305,-0.034599999999999964,0
"('2002', 1)",0.0,-0.5345224838248499,AMGN,2002,1,-0.050213840985121515,0.32,-0.13790000000000002,1
"('2002', 1)",0.0,-0.5345224838248499,AMGN,2002,1,-0.050213840985121515,0.32,-0.13790000000000002,1
"('2002', 1)",0.0,-0.5345224838248499,AMGN,2002,1,-0.050213840985121515,0.32,-0.13790000000000002,1
"('2002', 1)",0.0,-0.5345224838248499,AMGN,2002,1,-0.050213840985121515,0.32,-0.13790000000000002,1
"('2002', 1)",0.0,-0.5345224838248499,AMGN,2002,1,-0.050213840985121515,0.32,-0.13790000000000002,1
"('2004', 0)",-2.7142857142857153,-2.6428571428571455,AMGN,2004,0,0.0125534602462801,0.5549999999999999,0.05010000000000003,1
"('2004', 0)",-2.7142857142857153,-2.6428571428571455,AMGN,2004,0,0.0125534602462801,0.5549999999999999,0.05010000000000003,1
"('2004', 0)",-2.7142857142857153,-2.6428571428571455,AMGN,2004,0,0.0125534602462801,0.5549999999999999,0.05010000000000003,1
"('2004', 0)",-2.7142857142857153,-2.6428571428571455,AMGN,2004,0,0.0125534602462801,0.5549999999999999,0.05010000000000003,1
"('2004', 1)",-3.5355339059327378,-3.5355339059327378,AMGN,2004,1,0.0,0.595,0.011200000000000099,1
"('2004', 1)",-3.5355339059327378,-3.5355339059327378,AMGN,2004,1,0.0,0.595,0.011200000000000099,1
"('2005', 3)",8.000000000000005,8.000000000000005,AMGN,2005,3,0.0,0.69,-0.05369999999999997,0
"('2005', 3)",8.000000000000005,8.000000000000005,AMGN,2005,3,0.0,0.69,-0.05369999999999997,0
"('2005', 3)",8.000000000000005,8.000000000000005,AMGN,2005,3,0.0,0.69,-0.05369999999999997,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 0)",-4.342772343385628,-4.097795441963871,AMGN,2006,0,0.03682348338908948,0.88,-0.012399999999999967,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 1)",-0.6179143806533255,-0.35309393180190424,AMGN,2006,1,0.04304043513010352,0.93,-0.07020000000000004,0
"('2006', 2)",3.7080992435478377,3.7080992435478377,AMGN,2006,2,0.0,0.94,0.10949999999999993,0
