,TICKER,quarternum,analyst,forecast_value,year,earn_value,std,Analyst_Counts,Max,Min,the max_forecast-min_forecast,delta_return,Y,Y_up,Y_down,quantile_0,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
ABBV02015,ABBV,0,171887,0.83,2015,0.89,0.0057735026918962545,3,0.84,0.83,0.010000000000000009,-0.03810000000000002,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
ABBV02015,ABBV,0,109306,0.84,2015,0.89,0.0057735026918962545,3,0.84,0.83,0.010000000000000009,-0.03810000000000002,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
ABBV02015,ABBV,0,84063,0.83,2015,0.89,0.0057735026918962545,3,0.84,0.83,0.010000000000000009,-0.03810000000000002,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
ABBV22016,ABBV,2,105436,1.29,2016,1.26,0.04242640687119289,2,1.29,1.23,0.06000000000000005,0.014499999999999957,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ABBV22016,ABBV,2,130921,1.23,2016,1.26,0.04242640687119289,2,1.29,1.23,0.06000000000000005,0.014499999999999957,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ADM01998,ADM,0,9826,0.2386,1998,0.1974,,1,0.2386,0.2386,0.0,-0.03990000000000005,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM02001,ADM,0,45216,0.1905,2001,0.1905,,1,0.1905,0.1905,0.0,0.11850000000000005,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM02014,ADM,0,125974,0.44,2014,0.95,,1,0.44,0.44,0.0,0.06020000000000003,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM02015,ADM,0,120390,0.68,2015,1.0,,1,0.68,0.68,0.0,-0.020299999999999985,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM12009,ADM,1,75571,0.4,2009,0.34,,1,0.4,0.4,0.0,0.08010000000000006,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM12013,ADM,1,1247,0.77,2013,0.48,,1,0.77,0.77,0.0,0.03370000000000006,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM12016,ADM,1,120390,0.45,2016,0.42,,1,0.45,0.45,0.0,-0.041200000000000014,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM22011,ADM,2,86035,0.68,2011,1.01,0.12096831541082706,3,0.73,0.5,0.22999999999999998,-0.01959999999999995,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
ADM22011,ADM,2,83246,0.73,2011,1.01,0.12096831541082706,3,0.73,0.5,0.22999999999999998,-0.01959999999999995,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
ADM22011,ADM,2,55913,0.5,2011,1.01,0.12096831541082706,3,0.73,0.5,0.22999999999999998,-0.01959999999999995,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
ADM22012,ADM,2,125974,0.43,2012,0.38,,1,0.43,0.43,0.0,-0.010299999999999976,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM31997,ADM,3,9826,0.2468,1997,0.1728,,1,0.2468,0.2468,0.0,-0.05349999999999999,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM31999,ADM,3,45216,0.1451,1999,0.0544,,1,0.1451,0.1451,0.0,0.04810000000000003,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM32000,ADM,3,45216,0.1714,2000,0.1619,,1,0.1714,0.1714,0.0,0.1513,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADM32007,ADM,3,31250,0.72,2007,0.71,,1,0.72,0.72,0.0,-0.013000000000000012,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
