,Unnamed: 0,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,Abbreviation,FIPS
0,0,Alabama,17,McCain,Obama,Nader,6093,46,31.0,73.6,25.8,0.2,R,D,O,AL,
1,1,Alabama,61,McCain,Obama,Nader,19386,250,220.0,75.3,23.8,0.3,R,D,O,AL,
2,2,Alabama,5,McCain,Obama,Nader,5697,21,11.0,50.4,49.0,0.1,R,D,O,AL,
3,3,Alabama,6,McCain,Obama,Nader,2299,32,11.0,72.4,26.6,0.4,R,D,O,AL,
4,4,Alabama,20,McCain,Obama,Nader,3522,127,81.0,84.0,14.5,0.5,R,D,O,AL,
5,5,Alabama,1,McCain,Nader,Obama,4011,6,2.0,25.7,,74.1,R,O,D,AL,
6,6,Alabama,5,McCain,Obama,Nader,4188,16,7.0,56.5,43.1,0.2,R,D,O,AL,
7,7,Alabama,32,McCain,Obama,Nader,16334,248,137.0,65.7,33.2,0.5,R,D,O,AL,
8,8,Alabama,8,McCain,Obama,Nader,6799,29,27.0,53.9,45.5,0.2,R,D,O,AL,
9,9,Alabama,7,McCain,Nader,Obama,2306,44,40.0,74.9,0.4,23.7,R,O,D,AL,
10,10,Alabama,13,McCain,Obama,Nader,3674,51,30.0,78.5,20.7,0.3,R,D,O,AL,
11,11,Alabama,4,McCain,Obama,Nader,3636,15,5.0,53.5,46.1,0.2,R,D,O,AL,
12,12,Alabama,7,McCain,Obama,Nader,5914,22,16.0,55.6,44.0,0.2,R,D,O,AL,
13,13,Alabama,4,McCain,Obama,Nader,1760,31,16.0,73.1,25.8,0.5,R,D,O,AL,
14,14,Alabama,5,McCain,Nader,Obama,1168,49,24.0,80.3,0.4,18.0,R,O,D,AL,
15,15,Alabama,14,McCain,Obama,Nader,5079,50,36.0,74.1,25.2,0.2,R,D,O,AL,
16,16,Alabama,14,McCain,Obama,Nader,9703,161,73.0,59.3,39.1,0.6,R,D,O,AL,
17,17,Alabama,3,McCain,Obama,Nader,3429,25,5.0,49.9,49.3,0.4,R,D,O,AL,
18,18,Alabama,3,McCain,Obama,Nader,2273,14,9.0,58.4,40.9,0.3,R,D,O,AL,
19,19,Alabama,12,McCain,Obama,Nader,3240,34,29.0,78.8,20.5,0.2,R,D,O,AL,
20,20,Alabama,4,McCain,Obama,Nader,1938,11,5.0,68.7,30.8,0.2,R,D,O,AL,
