,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,17,McCain,Obama,Nader,6093,46,31,73.6,25.8,0.2,R,D,O
1,Alabama,61,McCain,Obama,Nader,19386,250,220,75.3,23.8,0.3,R,D,O
2,Alabama,5,McCain,Obama,Nader,5697,21,11,50.4,49.0,0.1,R,D,O
3,Alabama,6,McCain,Obama,Nader,2299,32,11,72.4,26.6,0.4,R,D,O
4,Alabama,20,McCain,Obama,Nader,3522,127,81,84.0,14.5,0.5,R,D,O
5,Alabama,1,McCain,Nader,Obama,4011,6,2,25.7,,74.1,R,O,D
6,Alabama,5,McCain,Obama,Nader,4188,16,7,56.5,43.1,0.2,R,D,O
7,Alabama,32,McCain,Obama,Nader,16334,248,137,65.7,33.2,0.5,R,D,O
8,Alabama,8,McCain,Obama,Nader,6799,29,27,53.9,45.5,0.2,R,D,O
9,Alabama,7,McCain,Nader,Obama,2306,44,40,74.9,0.4,23.7,R,O,D
10,Alabama,13,McCain,Obama,Nader,3674,51,30,78.5,20.7,0.3,R,D,O
11,Alabama,4,McCain,Obama,Nader,3636,15,5,53.5,46.1,0.2,R,D,O
12,Alabama,7,McCain,Obama,Nader,5914,22,16,55.6,44.0,0.2,R,D,O
13,Alabama,4,McCain,Obama,Nader,1760,31,16,73.1,25.8,0.5,R,D,O
14,Alabama,5,McCain,Nader,Obama,1168,49,24,80.3,0.4,18.0,R,O,D
15,Alabama,14,McCain,Obama,Nader,5079,50,36,74.1,25.2,0.2,R,D,O
16,Alabama,14,McCain,Obama,Nader,9703,161,73,59.3,39.1,0.6,R,D,O
17,Alabama,3,McCain,Obama,Nader,3429,25,5,49.9,49.3,0.4,R,D,O
18,Alabama,3,McCain,Obama,Nader,2273,14,9,58.4,40.9,0.3,R,D,O
19,Alabama,12,McCain,Obama,Nader,3240,34,29,78.8,20.5,0.2,R,D,O
20,Alabama,4,McCain,Obama,Nader,1938,11,5,68.7,30.8,0.2,R,D,O
21,Alabama,28,McCain,Obama,Nader,5864,227,89,81.8,16.6,0.6,R,D,O
22,Alabama,13,McCain,Obama,Nader,5270,60,35,71.9,27.3,0.3,R,D,O
23,Alabama,6,McCain,Obama,Nader,13986,23,20,32.6,67.1,0.1,R,D,O
24,Alabama,17,McCain,Obama,Nader,5658,151,65,74.8,23.6,0.6,R,D,O
25,Alabama,25,McCain,Obama,Nader,8301,70,63,75.1,24.2,0.2,R,D,O
26,Alabama,9,McCain,Obama,Nader,5188,29,28,63.9,35.4,0.2,R,D,O
27,Alabama,30,McCain,Obama,Nader,13497,264,149,68.4,30.2,0.6,R,D,O
28,Alabama,5,McCain,Obama,Nader,1994,50,14,73.9,25.1,0.6,R,D,O
29,Alabama,8,McCain,Obama,Nader,3469,84,25,68.8,29.7,0.7,R,D,O
30,Alabama,9,McCain,Obama,Nader,2134,35,34,80.8,18.3,0.3,R,D,O
31,Alabama,876,McCain,Obama,Nader,4408,4,2,16.5,83.1,0.1,R,D,O
32,Alabama,3,McCain,Obama,Nader,4982,10,7,39.0,60.7,0.1,R,D,O
33,Alabama,5,McCain,Obama,Nader,3018,14,8,64.6,34.9,0.2,R,D,O
34,Alabama,29,McCain,Obama,Nader,12225,78,59,70.1,29.3,0.2,R,D,O
35,Alabama,14,McCain,Obama,Nader,6374,180,59,67.5,30.5,0.8,R,D,O
36,Alabama,149,McCain,Nader,Obama,166211,793,713,47.1,0.2,52.2,R,O,D
37,Alabama,5,McCain,Obama,Nader,1614,23,5,76.8,22.9,0.3,R,D,O
38,Alabama,24,McCain,Obama,Nader,13329,320,128,63.2,35.0,0.8,R,D,O
39,Alabama,9,McCain,Obama,Nader,5164,92,40,63.2,35.2,0.6,R,D,O
40,Alabama,32,McCain,Obama,Nader,21498,192,186,59.3,39.6,0.4,R,D,O
41,Alabama,23,McCain,Obama,Nader,9536,128,103,70.3,28.4,0.4,R,D,O
42,Alabama,1,McCain,Obama,Nader,5449,5,3,24.9,74.9,0.1,R,D,O
43,Alabama,1,McCain,Obama,Nader,9450,8,4,12.8,86.9,0.1,R,D,O
44,Alabama,86,McCain,Nader,Obama,64117,579,481,56.9,0.3,41.9,R,O,D
45,Alabama,5,McCain,Obama,Nader,5926,16,3,48.1,51.7,0.1,R,D,O
46,Alabama,9,McCain,Obama,Nader,2600,117,36,77.2,21.0,0.9,R,D,O
47,Alabama,25,McCain,Obama,Nader,7038,175,82,77.6,21.2,0.5,R,D,O
48,Alabama,98,McCain,Obama,Nader,82181,426,327,54.0,45.3,0.2,R,D,O
49,Alabama,6,McCain,Obama,Nader,5025,19,6,54.9,44.7,0.2,R,D,O
50,Alabama,42,McCain,Obama,Nader,62166,167,148,40.1,59.4,0.2,R,D,O
51,Alabama,36,McCain,Obama,Nader,13895,223,142,71.3,27.5,0.4,R,D,O
52,Alabama,1,McCain,Nader,Obama,4457,7,6,27.3,0.1,72.4,R,O,D
53,Alabama,5,McCain,Obama,Nader,4594,19,3,54.0,45.6,0.2,R,D,O
54,Alabama,8,McCain,Obama,Nader,5879,32,16,57.4,42.1,0.2,R,D,O
55,Alabama,7,McCain,Nader,Obama,3064,50,42,69.1,0.4,29.5,R,O,D
56,Alabama,8,McCain,Obama,Nader,10085,41,36,46.0,53.3,0.2,R,D,O
57,Alabama,69,McCain,Nader,Obama,20625,304,228,76.2,0.3,22.8,R,O,D
