,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,Autauga,M. ROMNEY,B. OBAMA,G. JOHNSON,17366,6354,136.0,0.726,0.266,0.006,R,D,O
1,Alabama,Baldwin,M. ROMNEY,B. OBAMA,G. JOHNSON,65772,18329,597.0,0.774,0.21600000000000003,0.006999999999999999,R,D,O
2,Alabama,Barbour,B. OBAMA,M. ROMNEY,G. JOHNSON,5873,5539,32.0,0.513,0.483,0.003,D,R,O
3,Alabama,Bibb,M. ROMNEY,B. OBAMA,G. JOHNSON,6131,2200,38.0,0.731,0.262,0.005,R,D,O
4,Alabama,Blount,M. ROMNEY,B. OBAMA,G. JOHNSON,20741,2961,169.0,0.865,0.12300000000000001,0.006999999999999999,R,D,O
5,Alabama,Bullock,B. OBAMA,M. ROMNEY,V. GOODE,4058,1250,4.0,0.763,0.235,0.001,D,R,O
6,Alabama,Butler,M. ROMNEY,B. OBAMA,G. JOHNSON,5081,4367,20.0,0.536,0.461,0.002,R,D,O
7,Alabama,Calhoun,M. ROMNEY,B. OBAMA,G. JOHNSON,30272,15500,291.0,0.655,0.335,0.006,R,D,O
8,Alabama,Chambers,M. ROMNEY,B. OBAMA,G. JOHNSON,7596,6853,78.0,0.522,0.47100000000000003,0.005,R,D,O
9,Alabama,Cherokee,M. ROMNEY,B. OBAMA,G. JOHNSON,7494,2126,79.0,0.768,0.218,0.008,R,D,O
10,Alabama,Chilton,M. ROMNEY,B. OBAMA,G. JOHNSON,13910,3391,66.0,0.7979999999999999,0.195,0.004,R,D,O
11,Alabama,Choctaw,M. ROMNEY,B. OBAMA,G. JOHNSON,4150,3785,19.0,0.521,0.475,0.002,R,D,O
12,Alabama,Clarke,M. ROMNEY,B. OBAMA,G. JOHNSON,7463,6317,22.0,0.54,0.457,0.002,R,D,O
13,Alabama,Clay,M. ROMNEY,B. OBAMA,G. JOHNSON,4802,1770,42.0,0.723,0.267,0.006,R,D,O
14,Alabama,Cleburne,M. ROMNEY,B. OBAMA,G. JOHNSON,5269,971,37.0,0.836,0.154,0.006,R,D,O
15,Alabama,Coffee,M. ROMNEY,B. OBAMA,G. JOHNSON,14638,4899,110.0,0.742,0.248,0.006,R,D,O
16,Alabama,Colbert,M. ROMNEY,B. OBAMA,G. JOHNSON,13931,9160,201.0,0.596,0.392,0.009000000000000001,R,D,O
17,Alabama,Conecuh,B. OBAMA,M. ROMNEY,G. JOHNSON,3551,3434,15.0,0.506,0.49,0.002,D,R,O
18,Alabama,Coosa,M. ROMNEY,B. OBAMA,G. JOHNSON,3028,2188,18.0,0.578,0.41700000000000004,0.003,R,D,O
19,Alabama,Covington,M. ROMNEY,B. OBAMA,G. JOHNSON,12148,3155,66.0,0.7879999999999999,0.205,0.004,R,D,O
20,Alabama,Crenshaw,M. ROMNEY,B. OBAMA,G. JOHNSON,4326,2048,21.0,0.675,0.319,0.003,R,D,O
21,Alabama,Cullman,M. ROMNEY,B. OBAMA,G. JOHNSON,27930,4855,218.0,0.8420000000000001,0.146,0.006999999999999999,R,D,O
22,Alabama,Dale,M. ROMNEY,B. OBAMA,G. JOHNSON,13105,5283,101.0,0.706,0.285,0.005,R,D,O
23,Alabama,Dallas,B. OBAMA,M. ROMNEY,G. JOHNSON,14599,6284,34.0,0.6970000000000001,0.3,0.002,D,R,O
24,Alabama,DeKalb,M. ROMNEY,B. OBAMA,G. JOHNSON,18316,5235,161.0,0.768,0.22,0.006999999999999999,R,D,O
25,Alabama,Elmore,M. ROMNEY,B. OBAMA,G. JOHNSON,26223,8940,191.0,0.74,0.252,0.005,R,D,O
26,Alabama,Escambia,M. ROMNEY,B. OBAMA,G. JOHNSON,9263,5476,55.0,0.625,0.369,0.004,R,D,O
27,Alabama,Etowah,M. ROMNEY,B. OBAMA,G. JOHNSON,29102,12792,395.0,0.685,0.301,0.009000000000000001,R,D,O
28,Alabama,Fayette,M. ROMNEY,B. OBAMA,G. JOHNSON,6034,1803,43.0,0.763,0.228,0.005,R,D,O
29,Alabama,Franklin,M. ROMNEY,B. OBAMA,G. JOHNSON,7567,3171,69.0,0.6970000000000001,0.292,0.006,R,D,O
30,Alabama,Geneva,M. ROMNEY,B. OBAMA,G. JOHNSON,9173,2039,63.0,0.81,0.18,0.006,R,D,O
31,Alabama,Greene,B. OBAMA,M. ROMNEY,G. JOHNSON,4514,799,8.0,0.847,0.15,0.002,D,R,O
32,Alabama,Hale,B. OBAMA,M. ROMNEY,G. JOHNSON,5401,3205,13.0,0.626,0.371,0.002,D,R,O
33,Alabama,Henry,M. ROMNEY,B. OBAMA,G. JOHNSON,5605,3046,33.0,0.644,0.35,0.004,R,D,O
34,Alabama,Houston,M. ROMNEY,B. OBAMA,G. JOHNSON,29214,12348,210.0,0.698,0.295,0.005,R,D,O
35,Alabama,Jackson,M. ROMNEY,B. OBAMA,G. JOHNSON,14422,5817,189.0,0.7020000000000001,0.28300000000000003,0.009000000000000001,R,D,O
36,Alabama,Jefferson,B. OBAMA,M. ROMNEY,G. JOHNSON,159658,141413,1633.0,0.526,0.466,0.005,D,R,O
