,Unnamed: 0,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,Abbreviation,FIPS
0,0,Alabama,Autauga,D. TRUMP,H. CLINTON,G. JOHNSON,18110,5908,538,0.7340000000000001,0.24,0.022,R,D,O,AL,1001.0
1,1,Alabama,Baldwin,D. TRUMP,H. CLINTON,G. JOHNSON,72780,18409,2448,0.774,0.196,0.026,R,D,O,AL,1003.0
2,2,Alabama,Barbour,D. TRUMP,H. CLINTON,G. JOHNSON,5431,4848,93,0.523,0.467,0.009000000000000001,R,D,O,AL,1005.0
3,3,Alabama,Bibb,D. TRUMP,H. CLINTON,G. JOHNSON,6733,1874,124,0.77,0.214,0.014,R,D,O,AL,1007.0
4,4,Alabama,Blount,D. TRUMP,H. CLINTON,G. JOHNSON,22808,2150,337,0.899,0.085,0.013,R,D,O,AL,1009.0
5,5,Alabama,Bullock,H. CLINTON,D. TRUMP,G. JOHNSON,3530,1139,22,0.7509999999999999,0.242,0.005,D,R,O,AL,1011.0
6,6,Alabama,Butler,D. TRUMP,H. CLINTON,G. JOHNSON,4891,3716,65,0.563,0.428,0.006999999999999999,R,D,O,AL,1013.0
7,7,Alabama,Calhoun,D. TRUMP,H. CLINTON,G. JOHNSON,32803,13197,1114,0.6920000000000001,0.279,0.024,R,D,O,AL,1015.0
8,8,Alabama,Chambers,D. TRUMP,H. CLINTON,G. JOHNSON,7803,5763,168,0.5660000000000001,0.418,0.012,R,D,O,AL,1017.0
9,9,Alabama,Cherokee,D. TRUMP,H. CLINTON,G. JOHNSON,8809,1524,145,0.8390000000000001,0.145,0.014,R,D,O,AL,1019.0
10,10,Alabama,Chilton,D. TRUMP,H. CLINTON,G. JOHNSON,15068,2909,226,0.825,0.159,0.012,R,D,O,AL,1021.0
11,11,Alabama,Choctaw,D. TRUMP,H. CLINTON,G. JOHNSON,4102,3109,51,0.564,0.428,0.006999999999999999,R,D,O,AL,1023.0
12,12,Alabama,Clarke,D. TRUMP,H. CLINTON,G. JOHNSON,7109,5712,98,0.55,0.442,0.008,R,D,O,AL,1025.0
13,13,Alabama,Clay,D. TRUMP,H. CLINTON,G. JOHNSON,5230,1234,92,0.7959999999999999,0.188,0.014,R,D,O,AL,1027.0
14,14,Alabama,Cleburne,D. TRUMP,H. CLINTON,G. JOHNSON,5738,684,90,0.878,0.105,0.014,R,D,O,AL,1029.0
15,15,Alabama,Coffee,D. TRUMP,H. CLINTON,G. JOHNSON,15825,4194,392,0.7709999999999999,0.204,0.019,R,D,O,AL,1031.0
16,16,Alabama,Colbert,D. TRUMP,H. CLINTON,G. JOHNSON,16718,7296,506,0.679,0.29600000000000004,0.021,R,D,O,AL,1033.0
