,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,Autauga County,H. CLINTON,B. SANDERS,UNCOMMITTED,2387.0,544.0,42.0,0.8,0.182,0.013999999999999999,D,D,D
1,Alabama,Autauga County,D. TRUMP,T. CRUZ,M. RUBIO,5387.0,2482.0,1785.0,0.445,0.205,0.14800000000000002,R,R,R
2,Alabama,Baldwin County,H. CLINTON,B. SANDERS,UNCOMMITTED,5290.0,2694.0,149.0,0.647,0.32899999999999996,0.018000000000000002,D,D,D
3,Alabama,Baldwin County,D. TRUMP,M. RUBIO,T. CRUZ,23618.0,9703.0,8571.0,0.469,0.193,0.17,R,R,R
4,Alabama,Barbour County,H. CLINTON,B. SANDERS,UNCOMMITTED,2567.0,222.0,33.0,0.9059999999999999,0.078,0.012,D,D,D
5,Alabama,Barbour County,D. TRUMP,T. CRUZ,M. RUBIO,1710.0,609.0,498.0,0.501,0.179,0.146,R,R,R
6,Alabama,Bibb County,H. CLINTON,B. SANDERS,UNCOMMITTED,942.0,246.0,46.0,0.755,0.19699999999999998,0.037000000000000005,D,D,D
7,Alabama,Bibb County,D. TRUMP,T. CRUZ,M. RUBIO,1959.0,1011.0,444.0,0.494,0.255,0.11199999999999999,R,R,R
8,Alabama,Blount County,H. CLINTON,B. SANDERS,UNCOMMITTED,564.0,395.0,56.0,0.551,0.386,0.055,D,D,D
9,Alabama,Blount County,D. TRUMP,T. CRUZ,M. RUBIO,7390.0,3698.0,1843.0,0.48700000000000004,0.244,0.122,R,R,R
10,Alabama,Bullock County,H. CLINTON,B. SANDERS,UNCOMMITTED,2451.0,178.0,39.0,0.9129999999999999,0.066,0.015,D,D,D
11,Alabama,Bullock County,D. TRUMP,T. CRUZ,M. RUBIO,313.0,94.0,64.0,0.565,0.17,0.11599999999999999,R,R,R
12,Alabama,Butler County,H. CLINTON,B. SANDERS,UNCOMMITTED,2196.0,156.0,24.0,0.9209999999999999,0.065,0.01,D,D,D
13,Alabama,Butler County,D. TRUMP,T. CRUZ,M. RUBIO,1720.0,534.0,427.0,0.5379999999999999,0.16699999999999998,0.133,R,R,R
14,Alabama,Calhoun County,H. CLINTON,B. SANDERS,UNCOMMITTED,5011.0,1425.0,81.0,0.765,0.218,0.012,D,D,D
15,Alabama,Calhoun County,D. TRUMP,T. CRUZ,M. RUBIO,8960.0,3859.0,3251.0,0.451,0.19399999999999998,0.163,R,R,R
16,Alabama,Chambers County,H. CLINTON,B. SANDERS,UNCOMMITTED,2899.0,312.0,45.0,0.8859999999999999,0.095,0.013999999999999999,D,D,D
17,Alabama,Chambers County,D. TRUMP,T. CRUZ,B. CARSON,2169.0,914.0,595.0,0.47600000000000003,0.2,0.131,R,R,R
18,Alabama,Cherokee County,H. CLINTON,B. SANDERS,UNCOMMITTED,712.0,268.0,80.0,0.6609999999999999,0.249,0.07400000000000001,D,D,D
19,Alabama,Cherokee County,D. TRUMP,T. CRUZ,M. RUBIO,2777.0,921.0,810.0,0.521,0.17300000000000001,0.152,R,R,R
20,Alabama,Chilton County,H. CLINTON,B. SANDERS,UNCOMMITTED,860.0,289.0,23.0,0.731,0.24600000000000002,0.02,D,D,D
