,Unnamed: 0,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,Abbreviation,FIPS
0,0,Alabama,Autauga,H. CLINTON,B. SANDERS,UNCOMMITTED,2387.0,544.0,42.0,0.8,0.182,0.014,D,D,D,AL,1001.0
1,1,Alabama,Autauga,D. TRUMP,T. CRUZ,M. RUBIO,5387.0,2482.0,1785.0,0.445,0.205,0.14800000000000002,R,R,R,AL,1001.0
2,2,Alabama,Baldwin,H. CLINTON,B. SANDERS,UNCOMMITTED,5290.0,2694.0,149.0,0.647,0.329,0.018000000000000002,D,D,D,AL,1003.0
3,3,Alabama,Baldwin,D. TRUMP,M. RUBIO,T. CRUZ,23618.0,9703.0,8571.0,0.469,0.193,0.17,R,R,R,AL,1003.0
4,4,Alabama,Barbour,H. CLINTON,B. SANDERS,UNCOMMITTED,2567.0,222.0,33.0,0.906,0.078,0.012,D,D,D,AL,1005.0
5,5,Alabama,Barbour,D. TRUMP,T. CRUZ,M. RUBIO,1710.0,609.0,498.0,0.501,0.179,0.146,R,R,R,AL,1005.0
6,6,Alabama,Bibb,H. CLINTON,B. SANDERS,UNCOMMITTED,942.0,246.0,46.0,0.755,0.197,0.037000000000000005,D,D,D,AL,1007.0
7,7,Alabama,Bibb,D. TRUMP,T. CRUZ,M. RUBIO,1959.0,1011.0,444.0,0.494,0.255,0.112,R,R,R,AL,1007.0
8,8,Alabama,Blount,H. CLINTON,B. SANDERS,UNCOMMITTED,564.0,395.0,56.0,0.551,0.386,0.055,D,D,D,AL,1009.0
9,9,Alabama,Blount,D. TRUMP,T. CRUZ,M. RUBIO,7390.0,3698.0,1843.0,0.487,0.244,0.122,R,R,R,AL,1009.0
10,10,Alabama,Bullock,H. CLINTON,B. SANDERS,UNCOMMITTED,2451.0,178.0,39.0,0.913,0.066,0.015,D,D,D,AL,1011.0
11,11,Alabama,Bullock,D. TRUMP,T. CRUZ,M. RUBIO,313.0,94.0,64.0,0.565,0.17,0.116,R,R,R,AL,1011.0
12,12,Alabama,Butler,H. CLINTON,B. SANDERS,UNCOMMITTED,2196.0,156.0,24.0,0.921,0.065,0.01,D,D,D,AL,1013.0
13,13,Alabama,Butler,D. TRUMP,T. CRUZ,M. RUBIO,1720.0,534.0,427.0,0.5379999999999999,0.16699999999999998,0.133,R,R,R,AL,1013.0
14,14,Alabama,Calhoun,H. CLINTON,B. SANDERS,UNCOMMITTED,5011.0,1425.0,81.0,0.765,0.218,0.012,D,D,D,AL,1015.0
15,15,Alabama,Calhoun,D. TRUMP,T. CRUZ,M. RUBIO,8960.0,3859.0,3251.0,0.451,0.194,0.163,R,R,R,AL,1015.0
16,16,Alabama,Chambers,H. CLINTON,B. SANDERS,UNCOMMITTED,2899.0,312.0,45.0,0.8859999999999999,0.095,0.014,D,D,D,AL,1017.0
17,17,Alabama,Chambers,D. TRUMP,T. CRUZ,B. CARSON,2169.0,914.0,595.0,0.476,0.2,0.131,R,R,R,AL,1017.0
18,18,Alabama,Cherokee,H. CLINTON,B. SANDERS,UNCOMMITTED,712.0,268.0,80.0,0.6609999999999999,0.249,0.07400000000000001,D,D,D,AL,1019.0
19,19,Alabama,Cherokee,D. TRUMP,T. CRUZ,M. RUBIO,2777.0,921.0,810.0,0.521,0.173,0.152,R,R,R,AL,1019.0
20,20,Alabama,Chilton,H. CLINTON,B. SANDERS,UNCOMMITTED,860.0,289.0,23.0,0.731,0.246,0.02,D,D,D,AL,1021.0
21,21,Alabama,Chilton,D. TRUMP,T. CRUZ,M. RUBIO,5273.0,2328.0,1436.0,0.493,0.218,0.134,R,R,R,AL,1021.0
22,22,Alabama,Choctaw,H. CLINTON,B. SANDERS,UNCOMMITTED,1772.0,273.0,131.0,0.802,0.124,0.059,D,D,D,AL,1023.0
23,23,Alabama,Choctaw,D. TRUMP,T. CRUZ,M. RUBIO,1070.0,451.0,315.0,0.499,0.21,0.147,R,R,R,AL,1023.0
24,24,Alabama,Clarke,H. CLINTON,B. SANDERS,UNCOMMITTED,3148.0,213.0,17.0,0.93,0.063,0.005,D,D,D,AL,1025.0
25,25,Alabama,Clarke,D. TRUMP,T. CRUZ,M. RUBIO,2308.0,886.0,805.0,0.502,0.193,0.175,R,R,R,AL,1025.0
26,26,Alabama,Clay,H. CLINTON,B. SANDERS,UNCOMMITTED,807.0,135.0,35.0,0.818,0.13699999999999998,0.035,D,D,D,AL,1027.0
27,27,Alabama,Clay,D. TRUMP,T. CRUZ,M. RUBIO,1920.0,836.0,505.0,0.476,0.207,0.125,R,R,R,AL,1027.0
28,28,Alabama,Cleburne,H. CLINTON,B. SANDERS,UNCOMMITTED,221.0,72.0,7.0,0.732,0.238,0.023,D,D,D,AL,1029.0
29,29,Alabama,Cleburne,D. TRUMP,T. CRUZ,M. RUBIO,2120.0,928.0,598.0,0.483,0.211,0.136,R,R,R,AL,1029.0
30,30,Alabama,Coffee,H. CLINTON,B. SANDERS,UNCOMMITTED,1493.0,389.0,44.0,0.772,0.201,0.023,D,D,D,AL,1031.0
31,31,Alabama,Coffee,D. TRUMP,T. CRUZ,M. RUBIO,4304.0,2421.0,1608.0,0.414,0.233,0.155,R,R,R,AL,1031.0
