wrongDate,Date,State/territory,Calculated delegates-P,Calculated delegates-U,Calculated delegates-T,Type,Clinton-Popular Vote or Equivalent,Clinton-Delegate Category,Clinton-Vote Percent,Sanders-Popular Vote or Equivalent,Sanders-Delegate Category,Sanders-Vote Percent,Clinton-P,Clinton-U,Clinton-T,Sanders-P,Sanders-U,Sanders-T,Available[e]-P,Available[e]-U,Available[e]-T
02/01/17,02/01/16,Iowa[5],44,7,51,Semi-open caucus,700,SDE,0.50,697,SDE,0.50,23,6,29,21,0,21,0,1,1
02/09/17,02/09/16,New Hampshire[6],24,8,32,Semi-closed primary,95355,,0.38,152193,,0.60,9,6,15,15,1,16,0,1,1
02/20/17,02/20/16,Nevada[7],35,8,43,Closed caucus,6316,CD,0.53,5678,CD,0.47,20,7,27,15,1,16,0,0,0
02/27/17,02/27/16,South Carolina[8],53,6,59,Open primary,272379,,0.73,96498,,0.26,39,5,44,14,0,14,0,1,1
03/01/17,03/01/16,Alabama[9],53,7,60,Open primary,309926,,0.78,76401,,0.19,44,6,50,9,0,9,0,1,1
03/01/17,03/01/16,American Samoa[10],6,5,11,Closed caucus,162,,0.68,61,,0.26,4,4,8,2,1,3,0,0,0
03/01/17,03/01/16,Arkansas[11],32,5,37,Open primary,146057,,0.66,66236,,0.30,22,5,27,10,0,10,0,0,0
03/01/17,03/01/16,Colorado[12],66,12,78,Closed caucus,49789,,0.40,72846,,0.59,25,9,34,41,0,41,0,3,3
03/01/17,03/01/16,Georgia[13],102,15,117,Open primary,543008,,0.71,214332,,0.28,73,11,84,29,0,29,0,4,4
03/01/17,03/01/16,Massachusetts[14][15],91,24,115,Semi-closed primary,606822,,0.50,589803,,0.48,46,21,67,45,1,46,0,2,2
03/01/17,03/01/16,Minnesota[16],77,16,93,Open caucus,73510,,0.38,118135,,0.62,31,12,43,46,2,48,0,2,2
03/01/17,03/01/16,Oklahoma[17][18],38,4,42,Semi-closed primary,139443,,0.42,174228,,0.52,17,1,18,21,1,22,0,2,2
03/01/17,03/01/16,Tennessee[19],67,8,75,Open primary,245930,,0.66,120800,,0.33,44,8,52,23,0,23,0,0,0
03/01/17,03/01/16,Texas[20],222,29,251,Open primary,936004,,0.65,476547,,0.33,147,21,168,75,0,75,0,8,8
03/01/17,03/01/16,Vermont[21][22],16,10,26,Open primary,18338,,0.14,115900,,0.86,0,5,5,16,5,21,0,0,0
03/01/17,03/01/16,Virginia[23],95,13,108,Open primary,504741,,0.64,276370,,0.35,62,12,74,33,0,33,0,1,1
03/05/17,03/05/16,Kansas[24],33,4,37,Closed caucus,12593,,0.32,26450,,0.68,10,4,14,23,0,23,0,0,0
03/05/17,03/05/16,Louisiana[25],51,8,59,Closed primary,221733,,0.71,72276,,0.23,37,6,43,14,0,14,0,2,2
03/05/17,03/05/16,Nebraska[26],25,5,30,Closed caucus,14340,,0.43,19120,,0.57,10,3,13,15,1,16,0,1,1
03/06/17,03/06/16,Maine[27],25,5,30,Closed caucus,1232,SCD,0.36,2231,SCD,0.64,8,4,12,17,1,18,0,0,0
03/01/16,03/01/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/02/16,03/02/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/03/16,03/03/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/04/16,03/04/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/05/16,03/05/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/06/16,03/06/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
03/07/16,03/07/16,Democrats Abroad[28],13,4[f],17,Closed primary,10689,,0.31,23779,,0.69,4,2.5,6.5,9,0.5,9.5,0,1,1
