,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,primary_date,primary_type,edge1,edge2,edge3,Abbreviation,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
0,Alabama,Autauga County,H. CLINTON,B. SANDERS,UNCOMMITTED,2387.0,544.0,42.0,0.8,0.182,0.014,D,D,D,03/01/16,Open primary,0.111666666667,-0.128333333333,-0.185333333333,AL,Autauga County,AL,55395.0,54571.0,1.5,54571.0,6.0,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85.0,1.6,3.5,85.6,20.9,5922.0,26.2,22751.0,76.8,8.3,136200.0,20071.0,2.71,24571.0,53682.0,12.1,817.0,10120.0,2.1,2947.0,4067.0,15.2,0.0,1.3,0.0,0.7,31.7,0.0,0.0,598175.0,12003.0,88157.0,131.0,594.44,91.8
1,Alabama,Baldwin County,H. CLINTON,B. SANDERS,UNCOMMITTED,5290.0,2694.0,149.0,0.647,0.329,0.018,D,D,D,03/01/16,Open primary,0.135666666667,-0.140333333333,-0.163333333333,AL,Baldwin County,AL,200111.0,182265.0,9.8,182265.0,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83.0,82.1,3.6,5.5,89.1,27.7,19346.0,25.9,107374.0,72.6,24.4,168600.0,73283.0,2.52,26766.0,50221.0,13.9,4871.0,54988.0,3.7,16508.0,19035.0,2.7,0.4,1.0,0.0,1.3,27.3,1410273.0,0.0,2966489.0,17166.0,436955.0,1384.0,1589.78,114.6
2,Alabama,Barbour County,H. CLINTON,B. SANDERS,UNCOMMITTED,2567.0,222.0,33.0,0.906,0.078,0.012,D,D,D,03/01/16,Open primary,0.167666666667,-0.154333333333,-0.187333333333,AL,Barbour County,AL,26887.0,27457.0,-2.1,27457.0,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,84.8,2.9,5.0,73.7,13.4,2120.0,24.6,11799.0,67.7,10.6,89200.0,9200.0,2.66,16829.0,32911.0,26.7,464.0,6611.0,-5.6,1546.0,1667.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,188337.0,6334.0,0.0,8.0,884.88,31.0
3,Alabama,Bibb County,H. CLINTON,B. SANDERS,UNCOMMITTED,942.0,246.0,46.0,0.755,0.197,0.037,D,D,D,03/01/16,Open primary,0.160666666667,-0.0783333333333,-0.221333333333,AL,Bibb County,AL,22506.0,22919.0,-1.8,22915.0,5.3,21.0,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327.0,27.6,8978.0,79.0,7.3,90500.0,7091.0,3.03,17427.0,36447.0,18.1,275.0,3145.0,7.5,1126.0,1385.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124707.0,5804.0,10757.0,19.0,622.58,36.8
4,Alabama,Blount County,H. CLINTON,B. SANDERS,UNCOMMITTED,564.0,395.0,56.0,0.551,0.386,0.055,D,D,D,03/01/16,Open primary,0.153666666667,-0.0893333333333,-0.211333333333,AL,Blount County,AL,57719.0,57322.0,0.7,57322.0,6.1,23.6,17.0,50.5,96.0,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77.0,12.1,4540.0,33.9,23826.0,81.0,4.5,117100.0,21108.0,2.7,20730.0,44145.0,15.8,660.0,6798.0,3.4,3563.0,4458.0,0.0,0.0,0.0,0.0,0.0,23.2,341544.0,0.0,319700.0,5622.0,20941.0,3.0,644.78,88.9
5,Alabama,Bullock County,H. CLINTON,B. SANDERS,UNCOMMITTED,2451.0,178.0,39.0,0.913,0.066,0.015,D,D,D,03/01/16,Open primary,0.231666666667,-0.163333333333,-0.217333333333,AL,Bullock County,AL,10764.0,10915.0,-1.4,10914.0,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636.0,26.9,4461.0,74.3,8.7,70600.0,3741.0,2.73,18628.0,32033.0,21.6,112.0,0.0,0.0,470.0,417.0,0.0,0.0,0.0,0.0,0.0,38.8,0.0,0.0,43810.0,3995.0,3670.0,1.0,622.81,17.5
6,Alabama,Butler County,H. CLINTON,B. SANDERS,UNCOMMITTED,2196.0,156.0,24.0,0.921,0.065,0.01,D,D,D,03/01/16,Open primary,0.204666666667,-0.166333333333,-0.200333333333,AL,Butler County,AL,20296.0,20946.0,-3.1,20947.0,6.1,23.6,18.0,53.6,53.9,44.0,0.4,0.9,0.0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14.0,1497.0,24.0,9916.0,70.3,13.3,74700.0,8235.0,2.47,17403.0,29918.0,28.4,393.0,5711.0,2.7,1095.0,1769.0,0.0,0.0,3.3,0.0,0.0,0.0,399132.0,56712.0,229277.0,11326.0,28427.0,2.0,776.83,27.0
7,Alabama,Calhoun County,H. CLINTON,B. SANDERS,UNCOMMITTED,5011.0,1425.0,81.0,0.765,0.218,0.012,D,D,D,03/01/16,Open primary,0.117666666667,-0.139333333333,-0.170333333333,AL,Calhoun County,AL,115916.0,118586.0,-2.3,118572.0,5.7,22.2,16.0,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385.0,22.5,53289.0,68.7,13.8,100600.0,45196.0,2.54,20828.0,39962.0,21.9,2311.0,34871.0,0.6,6352.0,8713.0,7.2,0.0,1.6,0.0,0.5,24.7,2679991.0,0.0,1542981.0,13678.0,186533.0,114.0,605.87,195.7
8,Alabama,Chambers County,H. CLINTON,B. SANDERS,UNCOMMITTED,2899.0,312.0,45.0,0.886,0.095,0.014,D,D,D,03/01/16,Open primary,0.142666666667,-0.133333333333,-0.202333333333,AL,Chambers County,AL,34076.0,34170.0,-0.3,34215.0,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2.0,56.8,85.8,1.1,1.3,75.1,11.8,2691.0,24.6,16894.0,67.9,11.1,81200.0,13722.0,2.46,19291.0,32402.0,24.1,515.0,6431.0,-0.2,2354.0,1981.0,0.0,0.0,0.0,0.0,0.0,29.3,667283.0,0.0,264650.0,7620.0,23237.0,8.0,596.53,57.4
9,Alabama,Cherokee County,H. CLINTON,B. SANDERS,UNCOMMITTED,712.0,268.0,80.0,0.661,0.249,0.074,D,D,D,03/01/16,Open primary,0.187666666667,-0.160333333333,-0.181333333333,AL,Cherokee County,AL,26037.0,25986.0,0.2,25989.0,4.8,20.4,20.9,50.2,93.0,4.6,0.5,0.3,0.0,1.6,1.5,91.6,90.6,0.7,1.1,78.3,12.8,2174.0,26.9,16241.0,76.1,4.6,99400.0,11656.0,2.2,22030.0,34907.0,21.2,379.0,3864.0,5.5,1560.0,2180.0,0.0,0.0,0.0,0.0,0.0,14.5,307439.0,62293.0,186321.0,7613.0,13948.0,2.0,553.7,46.9
